name,city,income,credit_score,loan_amount,years_employed,points,loan_approved,monthly_current_bill,family_recharge_bill,previous_loan_paid
Meera Jain,Visakhapatnam,1062175.5,840,75499.99,7,60,TRUE,2419.791385,2541.460714,No
Rohan Nambiar,Kanpur,741036.17,768,328782.52,7,85,TRUE,2958.419708,644.1201416,No
Divya Bose,Bhubaneshwar,347166.53,739,179342,39,80,TRUE,593.2987349,496.5222985,Yes
Divya Mishra,Visakhapatnam,942848.77,838,234540.85,32,65,TRUE,2260.966909,2618.366077,No
Priya Das,Agra,901765.14,682,95670.79,1,65,TRUE,3638.778824,1201.192408,No
Sanjay Nair,Gurugram,388804.3,436,228557.12,22,35,FALSE,1226.091038,3111.72593,Yes
Divya Nambiar,Aligarh,701878.79,486,236743.49,4,50,FALSE,4254.217625,3157.197221,No
Arjun Rao,Nagpur,1139270.95,342,128225.91,19,25,FALSE,1875.481933,411.2106975,No
Aditi Sharma,Patna,611355.51,592,480055.17,3,40,FALSE,5358.651554,841.5018581,Yes
Rakesh Verma,Visakhapatnam,777622.93,750,112276.72,21,90,TRUE,3329.932467,1859.721524,Yes
Aditi Joshi,Kochi,556280.24,380,479394.22,38,35,FALSE,3253.040041,2546.691605,No
Rohan Verma,Aurangabad,542026.25,756,148508.36,27,85,TRUE,1981.01649,240.0197071,No
Aditya Chatterjee,Delhi,672712.54,581,403560.87,3,55,FALSE,1294.614198,2219.371824,No
Aditya Menon,Mysuru,423692.45,748,196130.47,8,85,TRUE,2982.084215,2200.223922,Yes
Rohan Iyer,Lucknow,466544.03,457,441836.42,28,45,FALSE,2141.48727,655.881368,No
Aditi Jain,Mumbai,218372.02,621,212263.72,17,40,FALSE,2765.506109,942.0251619,Yes
Aditya Chatterjee,Agra,624396.1,420,415747.36,16,50,FALSE,736.0472551,1434.568306,Yes
Aditya Mishra,Gwalior,797473.3,375,399948.94,11,45,FALSE,4224.034869,1424.526598,Yes
Praveen Menon,Kochi,536823.32,597,263107.74,10,70,TRUE,3151.083079,634.5961255,Yes
Praveen Bose,Mysuru,848838.97,505,330016.34,15,50,FALSE,2531.043485,1662.494282,Yes
Aditya Mishra,Jaipur,785020.95,432,211088.77,5,35,FALSE,2669.76754,1352.000084,No
Sanjay Joshi,Shimla,469319.2,375,311283.64,20,45,FALSE,1055.482721,1466.300689,No
Aditya Verma,Jodhpur,315583.61,486,399797.65,27,60,TRUE,3277.24778,979.2603841,No
Priya Reddy,Salem,481934.66,630,61377.18,14,65,TRUE,2102.44087,2113.665297,Yes
Sanjay Mishra,Vadodara,259721.26,581,73343.82,40,45,FALSE,3262.872712,680.3315174,No
Ishita Bose,Nashik,489755.64,457,198514.7,39,55,FALSE,3851.380296,1038.882297,No
Divya Iyer,Delhi,347870.72,346,99752.23,36,50,FALSE,2437.577718,1744.113762,No
Praveen Patel,Rajkot,825466.83,596,275135.04,19,40,FALSE,4867.031364,427.2712612,Yes
Ishita Yadav,Udaipur,516657.41,725,291201.21,29,75,TRUE,3597.343088,2105.792003,No
Karthik Ghosh,Varanasi,383214.48,708,495135.78,23,85,TRUE,660.614435,1212.208036,Yes
Meera Thakur,Vijayawada,940855.44,399,468549.86,18,60,TRUE,1011.835719,2523.776529,Yes
Ananya Pandey,Meerut,1153621.83,620,184295.08,10,70,TRUE,1407.421364,1186.907125,No
Rohan Patel,Thiruvananthapuram,817688.89,520,465276.63,22,35,FALSE,4555.077116,1087.6695,No
Pooja Joshi,Nagpur,672407.45,410,312020.19,8,50,FALSE,2685.225865,2111.340159,No
Arjun Patel,Pune,400284.73,499,208262.28,35,55,FALSE,4619.884999,1458.374176,No
Arjun Singh,Mumbai,592104.95,431,422397.82,25,50,FALSE,4079.980345,773.3417443,No
Sanjay Rao,Kolkata,340972.49,821,497844.67,32,65,TRUE,4124.466791,1345.564922,Yes
Ishita Reddy,Visakhapatnam,505774.76,827,367277.64,20,85,TRUE,2186.101357,1037.626648,Yes
Ananya Sharma,Chandigarh,632159.64,821,357638.95,31,80,TRUE,3280.995313,1075.630931,Yes
Pooja Bose,Noida,1034357.39,726,134181.1,19,60,TRUE,2008.846038,1244.024509,Yes
Arjun Sharma,Vadodara,749010.52,533,69826.36,3,30,FALSE,2923.472758,2262.904305,No
Divya Yadav,Agra,1000109.25,332,99620.4,7,20,FALSE,1779.510903,388.608195,Yes
Aarav Pillai,Aurangabad,532333.91,813,441290.18,30,90,TRUE,4466.426732,2298.729079,Yes
Sanjay Menon,Jaipur,266464.3,632,42730.44,30,65,TRUE,3179.009553,372.1105884,Yes
Divya Joshi,Kozhikode,714950.72,795,304793.04,15,90,TRUE,2014.227131,1359.89849,Yes
Rohan Verma,Madurai,183520.7,800,297588.69,30,80,TRUE,3938.501812,796.5595698,Yes
Rajesh Reddy,Nashik,654844.2,688,46573.45,22,70,TRUE,1829.48702,1875.803429,Yes
Tanvi Chatterjee,Hyderabad,362706.3,654,330864.16,16,70,TRUE,1819.478495,1158.020788,Yes
Naveen Yadav,Amritsar,248464.49,440,283875.09,39,45,FALSE,5378.5207,2538.173766,Yes
Pooja Patel,Hubballi,961972.54,402,475841.89,21,45,FALSE,4864.845545,686.8701899,No
Aditi Menon,Raipur,869828.1,716,32906.32,30,75,TRUE,694.0778623,1654.752845,No
Sanjay Pandey,Tiruchirappalli,1173724.63,391,336587.1,36,25,FALSE,4002.686151,1997.580899,No
Rakesh Pillai,Bhopal,926900.98,337,55653.75,31,55,FALSE,3378.573088,2665.589552,No
Aarav Sharma,Meerut,266994.41,605,320918.62,38,65,TRUE,532.6399867,2100.151083,No
Ishita Ghosh,Dehradun,189749.9,816,64723.32,17,75,TRUE,2550.115533,239.6967691,No
Krishna Nambiar,Delhi,1107534.72,314,248413.05,21,50,FALSE,3726.563539,2644.891374,No
Aarav Nambiar,Shimla,343109.75,715,350564.46,32,75,TRUE,4494.123862,737.2782323,No
Aarav Rao,Kanpur,915231.44,554,251281.69,16,55,FALSE,4554.301896,1141.791299,No
Rohan Das,Ranchi,189435.95,311,31389.93,23,55,FALSE,3680.113978,1945.759038,No
Rajesh Patel,Aligarh,1150236.31,618,341161.17,7,45,FALSE,4209.803212,738.8563305,No
Aditya Iyer,Jamshedpur,745710.18,789,200373.4,29,80,TRUE,4044.499713,1606.169098,Yes
Ananya Jain,Kolkata,1051268.58,553,245692.63,38,40,FALSE,1606.742938,385.7180492,No
Rajesh Bose,Shimla,955709.4,414,24611.81,35,60,TRUE,3882.040191,2011.104526,Yes
Rohan Pillai,Bhubaneshwar,921935.3,752,462676.79,13,80,TRUE,574.7393683,1725.261527,No
Sai Thakur,Vijayawada,1181949.41,435,442022.16,26,50,FALSE,5630.685247,1327.429608,Yes
Ananya Nair,Hubballi,1018566.54,560,250149.11,13,60,TRUE,1683.54283,1674.509604,No
Rakesh Patel,Dehradun,298588.56,783,424161.2,18,90,TRUE,4188.362806,1913.328821,Yes
Sai Patel,Ranchi,528736.97,759,451602.6,24,60,TRUE,1749.391339,2267.157519,Yes
Arjun Yadav,Delhi,347142.26,421,32592.76,34,55,FALSE,1847.816607,2505.880137,No
Aditi Gupta,Vijayawada,431864.98,774,474870.99,34,70,TRUE,4582.387018,2569.629284,No
Sneha Iyer,Mumbai,935059.22,493,333605.86,7,35,FALSE,3839.049675,2355.713411,No
Aditi Thakur,Kolkata,647458.73,334,136087.51,38,25,FALSE,3484.074584,2998.402275,No
Krishna Tiwari,Coimbatore,442877.56,522,180112.52,8,30,FALSE,1654.922987,1845.987661,No
Aditya Iyer,Aligarh,563045.28,542,131594.56,9,40,FALSE,4457.90207,792.9829353,Yes
Sai Nair,Mangalore,488440.14,807,222755.78,22,100,TRUE,1388.276604,1006.262001,Yes
Arjun Nambiar,Srinagar,634367.58,452,400530.97,24,55,FALSE,2458.364702,857.9292966,No
Karthik Tiwari,Jamshedpur,867339.38,447,375271.26,3,45,FALSE,4453.146437,1777.179082,Yes
Karthik Verma,Bengaluru,460476.75,508,461148.32,5,35,FALSE,1198.487511,2284.592664,No
Divya Verma,Varanasi,237555.39,340,208349.27,12,50,FALSE,3300.174321,2340.309588,Yes
Sai Tiwari,Varanasi,816563.25,640,426374.39,0,25,FALSE,4172.58258,2590.03245,No
Ishita Menon,Kochi,1176715.93,706,35025.19,35,65,TRUE,627.4324377,772.6864251,Yes
Rohan Yadav,Jamshedpur,608711.85,825,78769.02,29,95,TRUE,1336.769033,2326.190995,Yes
Aditya Rao,Bengaluru,688529.45,620,386948.39,2,55,FALSE,3907.207788,2959.342291,No
Sanjay Pillai,Ahmedabad,275328.32,727,146441.74,9,45,FALSE,1414.966347,2056.194921,No
Sanjay Gupta,Delhi,1190289.44,645,288277.94,31,40,FALSE,3945.953615,881.4925713,No
Ishita Rao,Nagpur,361471.55,473,263749.23,34,60,TRUE,460.0280051,2759.698675,No
Sanjay Rao,Bhubaneshwar,996334.82,349,455104.45,26,55,FALSE,1980.983274,1351.636848,No
Vikram Pillai,Jamshedpur,370871.83,766,98123.6,3,80,TRUE,2531.27492,721.0044761,Yes
Ananya Rao,Kozhikode,1016375.92,306,418480.94,35,25,FALSE,3329.211231,3284.150938,No
Sanjay Thakur,Rajkot,761712.47,483,157312.97,6,55,FALSE,1766.926765,2343.845169,No
Riya Patel,Noida,917639.73,706,377679.57,23,80,TRUE,3620.799678,1247.654976,Yes
Naveen Singh,Gwalior,899405.7,382,290615.48,2,40,FALSE,3226.297023,1001.585445,No
Sanjay Bose,Dehradun,711161.69,384,220658.31,27,25,FALSE,1708.318931,2304.09943,No
Rajesh Chatterjee,Jodhpur,254085.9,516,102038.27,36,25,FALSE,3052.696636,428.0592922,No
Krishna Yadav,Kanpur,1102915.33,333,70458.52,20,55,FALSE,4336.262478,2017.797432,No
Rakesh Joshi,Amritsar,965026.01,466,291572.03,15,40,FALSE,903.3863553,2152.686055,Yes
Tanvi Pillai,Salem,349881,380,206673.04,22,50,FALSE,5405.259585,1341.260424,No
Aditi Bose,Meerut,994423.1,634,334506.27,40,65,TRUE,1039.136243,647.7779217,Yes
Karthik Gupta,Vijayawada,163225.85,742,271658.37,37,80,TRUE,3165.059428,2654.223788,No
Vikram Sharma,Jodhpur,1162877,574,409855.47,24,50,FALSE,1311.801296,1757.434945,No
Sneha Tiwari,Udaipur,1123072.16,305,224181.82,28,55,FALSE,1818.538567,1224.181627,No
Riya Gupta,Srinagar,985908.82,824,356525.43,6,85,TRUE,631.5148346,772.2486947,No
Aditya Reddy,Udaipur,1132583.74,598,457167.31,24,60,TRUE,2531.58443,2372.414538,Yes
Rajesh Gupta,Agra,360309.33,689,343383.57,8,65,TRUE,1267.63066,1408.784657,Yes
Sneha Mishra,Bhopal,594362.32,606,292318.65,4,55,FALSE,3916.284329,1609.297282,No
Riya Tiwari,Jaipur,391390.51,768,383409.94,8,90,TRUE,1590.592088,1005.663134,Yes
Meera Pillai,Patna,422729.85,750,45744.87,27,90,TRUE,3597.554293,319.2590708,Yes
Priya Gupta,Jamshedpur,452186.34,505,420844.51,20,50,FALSE,4234.504845,2340.738429,No
Divya Reddy,Bhopal,335462.41,633,140628.41,17,50,FALSE,687.9493336,493.2038846,No
Rakesh Bose,Mumbai,543974,484,41312.6,35,50,FALSE,2881.966528,902.4205187,Yes
Meera Singh,Gwalior,665868.2,370,135617.1,31,40,FALSE,2588.213764,1250.316839,No
